Id;Designator;Behuizing;Hoeveelheid;Orientatie;Leverancier en ref
1;R5,R2,R1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;470;x
2;J5;PinSocket_1x08_P2.54mm_Vertical;1;Conn_01x08;x
3;J4;PinSocket_1x06_P2.54mm_Horizontal;1;Conn_01x06;x
4;D3,D2,D1;LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;LED;x
5;Y1;Crystal_SMD_7050-2Pin_7.0x5.0mm_HandSoldering;1;Crystal;x
6;R17;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1M;x
7;C5,C4;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;20p;x
8;U5;QFP80P900X900X120-32N;1;ATMEGA328P;x
9;SW1;SW_PUSH_6mm_H7.3mm;1;SW_Push;x
10;R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10k;x
11;R3;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;x
12;ICSP2;PinSocket_2x03_P2.54mm_Vertical;1;M20-9980346;x
13;C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100n;x
14;U1;SOT223;1;LD1117S50TR;x
15;R16;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10K;x
16;J2,J1;SolderWirePad_1x01_SMD_5x10mm;2;Conn_01x01;
17;C15,C3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;0.1 uF;x
18;C2,C1;CP_Elec_6.3x5.8;2;47uF;x
